Drug,SELFIES
DB00341,[C][C][N][Branch1][#C][C][C][N][Ring1][=Branch1][C][C][O][C][C][=Branch1][C][=O][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00342,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch2][Ring2][Ring2][C][C][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][O]
DB00343,[C][C][=Branch1][C][=O][O][C][C][Branch2][Ring1][Branch2][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Branch1][C][Ring1][O][=O][C][C][N][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C]
DB00345,[C][=C][C][=Branch1][P][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][N]
DB00346,[C][N][Branch1][S][C][C][C][N][C][=Branch1][C][=O][C][C][C][C][O][Ring1][Branch1][C][=N][C][=C][C][=Branch1][P][=C][Branch1][N][C][=C][Ring1][=Branch1][C][=Branch1][Ring2][=N][Ring1][#Branch2][N][O][C][O][C]
DB00350,[C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=Branch1][C][=N][N][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][#Branch1][N][O]
DB00351,[C][C][=C][C][C][Branch2][Ring1][=N][C][C][C][Branch2][Ring1][=Branch1][C][Ring1][=Branch1][C][C][C][Ring1][Branch1][Branch1][=Branch1][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C][C][C][Branch1][=C][C][Ring2][Ring1][Branch1][=C][C][=Branch1][C][=O][C][C][Ring1][#Branch1][C]
DB00356,[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][N][C][=Branch1][C][=O][O][Ring1][=Branch2]
DB00357,[C][C][C][Branch1][N][C][C][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N]
DB00358,[C][C][C][N][C][Branch1][Ring2][C][Ring1][=Branch1][C][Branch2][Ring2][C][C][=C][C][=Branch2][Ring1][Ring2][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F][O]
DB00361,[C][C][C][=C][C][C][C][Branch2][Ring1][#Branch2][C][=C][Branch1][O][C][N][Branch1][Ring2][C][Ring1][Branch2][C][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=N][Branch2][Branch1][P][C][=C][Branch2][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][C][Ring1][Branch1][C][Branch1][=Branch1][C][=C][C][Ring1][=Branch1][Branch2][Ring1][=C][C][Branch2][Ring1][Ring2][C][Branch1][Branch2][C][Ring1][N][N][Ring1][S][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][O][O][C][=Branch1][C][=O][C][C][C][O][C][C][=Branch1][C][=O][O][C]
DB00363,[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S]
DB00366,[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][O][C][C][N][Branch1][C][C][C]
DB00367,[C][C][C][C][C][C][C][Branch1][=C][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][Branch1][Ring1][C][#C][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring2][Ring1][C][Ring1][#Branch1]
DB00368,[C][=C][C][=Branch1][#C][=C][Branch1][O][C][=C][Ring1][=Branch1][C][Branch1][Ring1][C][N][O][O][O]
DB00370,[C][N][C][C][N][C][Branch1][Ring2][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][N][N][=C][C][=C][Ring1][=Branch1]
DB00373,[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch2][Ring1][C][C][O][C][=N][S][N][=C][Ring1][Branch1][N][C][C][O][C][C][Ring1][=Branch1][O]
DB00378,[C][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][#Branch1][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][O][Ring1][#Branch1][C][C]
DB00379,[C][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][O][C][C][Branch1][C][C][N]
DB00380,[C][C][Branch1][S][C][N][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][N][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2]
DB00381,[C][C][O][C][=Branch1][C][=O][C][=C][Branch2][Ring1][N][N][C][=Branch2][Ring1][=Branch1][=C][Branch1][=N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][O][C][C][C][O][C][C][N]
DB00382,[C][C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][#Branch1][=C][Ring1][#Branch2][C][Ring1][=C][N]
DB00384,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][=C][Branch1][#C][N][=C][Branch1][#Branch2][N][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][N][N][N]
DB00387,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][Branch1][#Branch2][C][C][N][C][C][C][C][Ring1][Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
DB00388,[C][N][C][C][Branch1][N][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][O]
DB00389,[C][C][O][C][=Branch1][C][=O][N][C][=C][N][Branch1][Branch1][C][Ring1][Branch1][=S][C]
DB00390,[C][C][C][Branch2][Branch2][C][C][Branch2][#Branch1][=N][C][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][Branch2][=Branch1][#C][O][C][Branch1][=Branch1][C][C][Ring1][=Branch1][O][O][C][C][Branch2][Branch1][#C][O][C][Branch1][=Branch1][C][C][Ring1][=Branch1][O][O][C][C][C][C][Branch2][Ring2][=N][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][C][Branch2][Ring1][O][C][Branch2][Ring1][=Branch1][C][Ring1][=Branch1][Branch1][S][C][C][C][Ring1][Branch1][C][=C][C][=Branch1][C][=O][O][C][Ring1][=Branch1][O][C][O][C][C][C][O][O]
DB00391,[C][C][N][C][C][C][C][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][Branch1][P][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][O][C]
DB00393,[C][C][=C][Branch2][Ring2][Branch2][C][Branch2][Ring1][Branch1][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C][C][O][C]
DB00396,[C][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][#Branch1][C][C][C][C][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][O][Ring1][#Branch1][C][C]
DB00398,[C][N][C][=Branch1][C][=O][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][F][Branch1][C][F][F]
DB00399,[C][=C][N][Branch1][Branch1][C][=N][Ring1][Branch1][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
DB00400,[C][C][C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][=C][C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][Ring2][O][Ring1][=Branch1][C][=Branch1][N][=C][Branch1][#Branch1][C][=C][Ring1][#Branch1][O][C][O][C][Cl][O][C]
DB00401,[C][C][=C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][=Branch1][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C]
DB00402,[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][=N][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00408,[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00412,[C][N][Branch2][Ring1][N][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][S][Ring1][#Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
DB00413,[C][C][C][N][C][C][C][C][=C][Branch1][Ring2][C][Ring1][=Branch1][S][C][=Branch1][Ring2][=N][Ring1][=Branch1][N]
DB00421,[C][C][=Branch1][C][=O][S][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][Branch2][Ring1][=C][C][C][Ring1][O][C][C][C][C][Branch1][O][C][Ring1][Branch1][Branch1][Branch1][C][C][Ring1][=Branch2][C][C][C][C][=Branch1][C][=O][O][Ring1][#Branch2][C]
DB00423,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][Branch1][Branch2][C][O][C][=Branch1][C][=O][N][O]
DB00424,[C][N][C][C][C][C][Ring1][Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00432,[C][C][Branch2][Ring1][P][C][Branch2][Ring1][O][O][C][Ring1][Branch1][N][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][C][Branch1][C][F][Branch1][C][F][F][C][O][O]
DB00433,[C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00434,[C][N][C][C][C][=Branch2][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][C][Ring2][Ring1][Branch1]
DB00436,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][N][C][=C][Branch2][Ring1][O][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Ring2][Ring1][Ring2]
DB00437,[C][=N][N][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][C][=N][Ring1][#Branch1]
DB00440,[C][O][C][=C][C][=Branch1][N][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][O][C][O][C][C][C][=C][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][N]
DB00441,[C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][=C][Ring1][#Branch1][N][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][Branch1][C][F][F]
DB00443,[C][C][C][C][C][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][P][C][Ring1][O][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][C][Ring1][#C][Branch1][=C][C][Ring2][Ring1][C][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][C][O][F][C]
DB00444,[C][O][C][=C][C][=Branch1][O][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][C][C][C][Branch1][#Branch1][C][O][C][Ring1][Branch1][=O][C][Branch2][Ring1][C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1][O][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][C][Branch1][Ring2][O][Ring1][=Branch1][C][O][C][Branch1][Ring2][O][Ring1][#Branch1][C][=C][C][=C][S][Ring1][Branch1][O][O]
DB00445,[C][C][C][Branch2][=Branch1][Branch1][C][Branch2][Branch1][S][C][C][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][Branch2][Ring2][=Branch2][C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][#C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][Branch1][Branch1][C][Ring1][=Branch2][=O][C][=Branch1][=Branch1][=C][C][=C][Ring1][Branch2][O][C][O][Branch1][#Branch1][C][=Branch1][C][=O][C][O][O][N][O]
DB00446,[C][=C][C][=Branch2][Ring1][=Branch2][=C][C][=C][Ring1][=Branch1][C][Branch1][S][C][Branch1][Ring1][C][O][N][C][=Branch1][C][=O][C][Branch1][C][Cl][Cl][O][N+1][=Branch1][C][=O][O-1]
DB00450,[C][C][N][Branch2][Ring1][Ring2][C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][Ring1][=Branch2][=O][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F]
DB00451,[C][=C][Branch2][Ring1][S][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][I][O][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][I][O][I][I][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][N]
DB00455,[C][C][O][C][=Branch1][C][=O][N][C][C][C][=Branch2][Ring1][O][=C][C][=C][Branch1][=N][C][C][C][=C][Ring1][#Branch1][N][=C][C][=C][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][=C][Cl][C][C][Ring2][Ring1][=Branch1]
DB00457,[C][O][C][=C][Branch2][Ring2][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch2][Ring1][=N][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][N][O][C]
DB00458,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C]
DB00459,[C][C][=C][C][=Branch2][Ring1][P][=C][Branch2][Ring1][N][C][=Branch2][Ring1][#Branch1][=C][Ring1][=Branch1][C][=C][C][=Branch1][=C][=C][C][=C][C][=Branch1][#Branch1][=C][C][=Branch1][C][=O][O][C][C][C][C][O][C]
DB00461,[C][C][=Branch1][C][=O][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][Branch1][C][=C][Ring1][Branch2][O][C]
DB00462,[C][N+1][Branch2][Ring2][Ring1][C][C][C][Branch1][N][C][C][Ring1][=Branch1][C][C][Ring1][#Branch1][O][Ring1][Ring1][O][C][=Branch1][C][=O][C][Branch1][Ring1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C].[Br-1]
DB00465,[C][C][N][C][=Branch2][Ring1][C][=C][C][=C][Ring1][Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][S][C][=Branch1][C][=O][O]
DB00467,[C][C][N][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][C][=C][Branch1][#Branch1][N][=C][Ring1][=Branch1][Ring1][O][N][C][C][N][C][C][Ring1][=Branch1][F][C][=Branch1][C][=O][O]
DB00468,[C][O][C][=C][C][=C][Branch1][O][C][=C][N][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][C][Branch1][#C][C][C][C][C][C][N][Ring1][=Branch1][C][C][Ring1][=Branch1][C][=C][O]
DB00469,[C][N][C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=C][Branch1][Branch2][S][Ring1][=Branch1][=Branch1][C][=O][=O][C][=C][S][Ring1][Branch2][O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=N][Ring1][=Branch1]
DB00471,[C][C][Branch1][C][C][Branch2][Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][Branch2][Ring1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Branch1][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Ring1][O][S][C][C][Branch1][Branch1][C][C][Ring1][Ring1][C][C][=Branch1][C][=O][O][O]
DB00472,[C][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F]
DB00476,[C][N][C][C][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2]
DB00477,[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00478,[C][C][Branch2][Ring1][Branch1][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][Branch1][Ring2][C][Ring1][#Branch1][C][Ring1][#Branch2][N]
DB00480,[C][C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][Ring1][Branch2][N][C][C][=C][Branch1][Branch1][C][Ring1][Branch1][=O][C][=C][C][=C][Ring1][Branch2][N]
DB00481,[C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][#C][S][C][=C][Ring1][Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O]
DB00482,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=N][N][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch1][C][F][Branch1][C][F][F]
DB00483,[C][C][N+1][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C][C][O][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][C][N+1][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C][C][O][C][C][N+1][Branch1][Ring1][C][C][Branch1][Ring1][C][C][C][C].[I-1].[I-1].[I-1]
DB00484,[C][C][N][=C][Branch1][Ring2][N][Ring1][Branch1][N][C][=C][Branch1][=N][C][=N][C][=C][N][=C][Ring1][=Branch1][C][=C][Ring1][#Branch2][Br]
DB00487,[C][C][N][C][=C][Branch2][Ring1][S][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][Branch1][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][Ring1][O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][F][C][=Branch1][C][=O][O]
DB00489,[C][C][Branch1][C][C][N][C][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][O]
DB00490,[C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][C][=Branch1][C][=O][N][Branch1][Branch2][C][=Branch1][C][=O][C][Ring1][=Branch2][C][C][C][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][C][=N][Ring1][=Branch1]
DB00491,[C][C][Branch2][Ring1][Ring2][C][Branch1][S][C][Branch1][N][C][Branch1][#Branch1][N][Ring1][=Branch1][C][C][O][C][O][O][O][O]
DB00494,[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C][=Branch2][Ring1][#Branch1][=C][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][N+1][=Branch1][C][=O][O-1][C][#N]
DB00495,[C][C][=C][N][Branch1][#Branch2][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O][C][C][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][N][=N+1][=N-1]
DB00496,[C][C][N][Branch2][Ring1][#C][C][C][Ring1][Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][Ring1][#Branch1]
DB00498,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=O]
DB00499,[C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F]
DB00500,[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][N][Ring1][Branch1][C][C][C][=Branch1][C][=O][O]
DB00501,[C][C][=C][Branch1][=Branch1][N][=C][N][Ring1][Branch1][C][S][C][C][N][C][=Branch1][Ring1][=N][C][N][C][#N]
DB00502,[C][C][N][Branch2][Ring1][Ring2][C][C][C][Ring1][=Branch1][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][C][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F]
DB00513,[C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][N]
DB00514,[C][N][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][#Branch2][C][C][=C][Ring1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C]
DB00517,[C][C][C][C][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C][Branch1][Ring2][C][Ring1][#Branch1][N+1][Ring1][=Branch1][Branch1][C][C][C].[Br-1]
DB00518,[C][C][C][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][=C][Branch1][Ring2][N][Ring1][#Branch1][N][C][=Branch1][C][=O][O][C]
DB00524,[C][C][N][C][=C][C][=Branch2][Ring1][P][=C][Branch2][Ring1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][N][Cl]
DB00527,[C][C][C][C][O][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][Ring2][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C]
DB00530,[C][O][C][C][O][C][=C][Branch2][Ring1][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=N][C][=N][Ring1][#Branch1][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#C][O][C][C][O][C]
DB00533,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][=Branch2][C][=Branch1][C][=O][O][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00535,[C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][Branch2][Ring1][N][C][Branch1][Branch1][C][Ring1][Ring2][=O][N][C][=Branch1][C][=O][C][=Branch1][Ring1][=N][O][C][=C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][N][S][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O]
DB00536,[C][=Branch1][C][=N][Branch1][C][N][N]
DB00537,[C][C][C][Ring1][Ring1][N][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][Ring1][O][N][C][C][N][C][C][Ring1][=Branch1][F][C][=Branch1][C][=O][O]
DB00539,[C][N][Branch1][C][C][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][#C][=C][Branch1][Ring2][C][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
DB00541,[C][C][C][Branch2][Branch2][N][C][C][C][C][Branch2][Ring1][O][C][=C][Branch1][N][C][C][N][Branch1][Ring2][C][Ring1][=Branch2][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=C][Branch2][=Branch1][C][C][=C][Branch2][Branch1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][C][Ring1][Branch1][C][Branch1][=Branch1][C][=C][C][Ring1][=Branch1][Branch2][Ring1][#C][C][Branch2][Ring1][Branch1][C][Branch1][=Branch2][C][Ring1][N][N][Ring1][S][C][=O][Branch1][#Branch1][C][=Branch1][C][=O][O][C][O][O][C][=Branch1][C][=O][C][C][C][O][C][C][=Branch1][C][=O][O][C][O]
DB00542,[C][C][O][C][=Branch1][C][=O][C][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Branch1][C][Ring1][O][=O][C][C][=Branch1][C][=O][O]
DB00543,[C][C][N][Branch1][=Branch1][C][C][N][Ring1][=Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl]
DB00544,[C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][Ring1][Branch2][F]
